1000 10000
459 973 17
881 861 10
596 840 9
84 46 11
814 7 13
711 51 17
106 341 6
372 990 10
537 559 5
60 596 19
431 305 19
591 620 11
819 151 15
63 330 2
272 312 8
750 872 16
93 798 14
327 240 14
619 276 6
348 886 8
693 635 14
154 412 4
866 109 16
78 140 17
747 375 5
832 773 13
377 626 17
159 314 1
460 499 20
855 689 2
636 102 3
984 869 6
592 66 13
929 543 19
769 183 6
182 689 9
490 362 7
169 51 11
774 249 7
309 19 17
732 276 19
154 691 15
304 128 13
163 199 4
308 459 11
168 133 20
721 586 10
295 363 7
911 560 11
201 691 20
916 963 9
175 40 13
16 403 15
412 453 12
159 771 20
881 273 17
878 821 4
379 857 3
381 787 9
440 963 19
720 274 4
11 898 11
798 293 3
664 209 12
269 836 9
248 162 13
212 962 19
309 473 12
404 971 4
39 581 8
700 765 20
941 855 13
365 312 13
660 155 11
686 933 17
78 550 1
66 31 12
146 713 8
618 737 18
49 989 7
606 996 1
977 414 16
601 764 19
869 965 8
80 287 8
554 173 13
140 313 13
720 605 17
340 617 7
30 556 7
796 256 18
584 806 9
735 168 5
613 520 11
558 311 15
584 105 8
989 350 1
971 650 11
554 852 20
197 122 3
505 692 4
982 603 4
695 103 5
167 944 19
832 470 20
267 448 14
413 30 5
597 132 17
394 241 11
831 345 16
696 704 17
713 674 16
598 87 20
250 836 15
654 243 11
746 944 10
225 242 6
773 137 18
108 930 4
344 458 9
595 566 6
501 521 17
826 519 7
586 878 13
598 528 18
817 33 3
977 806 4
155 394 20
44 276 16
277 725 10
285 283 10
202 751 2
397 524 15
642 435 13
380 490 18
464 337 4
345 300 14
741 341 1
609 645 8
812 477 8
368 754 8
756 850 1
487 331 3
106 806 17
588 371 10
976 89 1
686 132 5
546 109 5
351 385 9
436 371 14
996 290 13
893 349 20
790 431 18
140 725 16
643 754 2
898 664 7
841 574 18
890 704 17
938 728 14
989 488 14
831 658 6
995 925 18
570 425 4
888 100 6
163 357 1
686 231 12
942 674 2
476 421 13
229 189 7
21 766 11
742 639 10
855 102 18
943 497 3
356 286 8
209 735 20
737 909 4
42 926 20
503 547 17
327 642 17
530 177 4
517 183 13
50 313 11
399 389 16
586 274 20
369 186 2
776 604 17
867 53 19
747 22 1
764 447 7
245 952 15
397 704 8
755 399 15
224 404 16
135 655 10
29 491 9
131 558 1
232 508 14
608 285 5
985 964 10
405 538 1
807 301 2
111 505 17
16 535 7
939 122 20
460 151 20
85 931 11
572 903 3
426 43 19
654 658 20
332 260 4
947 243 4
476 192 12
911 41 13
738 574 11
826 808 4
556 85 11
265 706 14
532 593 7
486 934 8
603 263 5
82 311 19
166 672 19
519 619 11
825 114 15
845 646 9
487 806 14
970 932 11
552 632 5
399 836 10
66 640 16
554 715 9
826 250 6
314 400 11
264 592 3
123 883 8
314 605 5
90 51 15
825 243 4
604 263 12
936 108 14
362 581 1
962 720 13
295 761 16
989 493 19
883 858 7
865 486 16
408 966 5
814 313 10
960 627 19
100 769 7
263 319 6
549 93 18
480 321 16
112 793 15
803 964 11
962 671 18
849 868 5
550 847 3
132 186 14
113 974 14
357 225 20
809 740 1
356 427 4
469 154 2
772 458 19
763 904 16
738 933 3
545 924 13
223 719 16
565 468 14
452 355 17
87 875 7
52 217 8
933 413 9
248 544 15
985 580 12
395 263 10
691 342 1
294 132 9
292 804 20
531 241 1
53 640 16
996 117 6
565 252 9
130 946 12
833 464 17
454 663 3
987 688 19
552 146 13
937 382 1
49 487 12
347 669 6
862 360 14
600 766 4
940 977 15
770 398 15
993 95 17
244 644 4
195 538 2
997 251 5
717 911 19
261 577 16
272 360 20
452 926 12
759 452 4
250 37 7
208 134 20
668 905 7
675 595 5
347 592 17
502 76 14
500 665 3
223 88 11
537 393 3
903 84 3
663 320 12
355 853 8
459 658 19
979 560 20
351 955 3
934 564 4
947 286 11
860 416 6
914 848 3
278 101 2
445 576 18
885 528 17
118 738 5
715 858 18
23 249 1
376 534 4
96 348 12
872 144 7
420 438 4
85 433 10
66 367 2
495 472 1
588 228 16
52 917 7
579 25 12
513 451 2
31 802 10
647 836 5
784 619 9
407 460 5
199 593 7
222 760 13
519 430 17
672 94 16
947 442 8
790 436 17
931 66 10
327 686 15
776 612 17
336 273 17
915 980 20
296 619 10
986 232 17
947 636 3
557 954 6
951 801 16
