500 3000
176 7 7
11 271 6
230 332 12
302 196 16
449 34 11
394 213 18
12 89 10
105 69 7
194 104 10
338 132 15
297 254 20
35 7 10
108 192 17
385 22 14
453 369 12
256 314 19
110 384 11
85 362 14
226 158 6
179 326 12
335 438 11
368 192 16
446 334 13
269 470 11
262 183 17
369 52 10
441 390 6
393 294 5
350 385 4
311 54 11
247 342 18
189 35 20
17 262 3
339 392 14
406 64 12
483 180 14
31 369 7
197 465 9
453 105 1
461 431 9
347 376 16
72 482 13
41 432 18
117 461 2
480 163 20
177 455 4
406 254 8
465 129 14
62 105 16
500 71 7
274 114 19
300 383 15
465 113 12
178 313 2
138 398 18
447 445 19
493 96 14
77 343 1
142 111 3
23 464 2
400 15 6
65 178 8
367 198 5
439 224 7
272 131 1
203 12 11
225 488 20
170 318 2
273 394 11
361 62 9
51 480 9
364 334 5
82 429 16
378 362 12
302 475 20
198 434 6
40 343 11
205 25 15
433 353 9
59 491 8
276 222 2
289 33 19
155 180 13
62 82 6
226 475 10
294 157 14
249 86 17
398 348 13
111 281 7
155 499 2
475 484 1
190 238 17
197 143 17
116 44 11
461 279 15
113 379 8
427 11 13
488 348 5
387 146 12
201 128 11
51 465 11
489 300 17
449 229 7
334 263 6
467 332 9
308 304 18
70 445 5
474 208 19
332 431 5
99 382 4
284 154 10
72 185 19
210 315 20
164 253 9
429 331 10
157 46 17
253 186 2
337 456 9
77 348 5
194 69 16
218 361 15
447 467 9
304 138 3
461 228 3
382 415 20
253 12 2
128 51 11
348 140 16
76 458 16
26 275 16
347 204 12
148 21 18
270 225 14
77 51 6
43 33 7
214 52 13
494 28 19
253 77 8
459 425 1
219 381 17
223 301 1
237 107 13
459 304 20
431 163 6
134 129 19
127 399 19
4 86 16
230 111 15
355 404 20
122 87 6
216 290 20
338 261 5
77 296 11
156 440 13
465 343 7
400 102 4
378 118 12
210 34 20
93 374 6
318 154 1
485 494 17
40 118 19
383 9 4
10 238 7
86 56 17
14 76 10
142 160 12
270 109 12
327 490 3
198 372 7
22 379 12
499 212 11
193 256 20
437 265 9
4 140 10
124 201 17
199 492 17
496 326 19
123 67 1
304 338 13
320 426 19
61 20 10
74 472 6
304 195 17
131 383 17
100 97 20
109 405 12
376 109 11
239 459 17
17 174 2
250 253 15
96 186 1
269 41 1
331 16 8
425 481 16
87 214 5
462 217 12
498 169 20
185 282 7
148 172 4
159 313 8
382 439 17
31 412 14
210 42 10
135 311 14
165 218 9
93 58 9
218 15 16
304 166 20
32 138 3
439 146 19
271 214 7
214 364 17
274 72 4
45 32 20
242 397 9
402 265 15
232 163 16
369 335 10
344 196 13
81 487 7
73 496 14
473 168 15
26 164 10
271 363 6
150 362 17
218 240 8
316 321 17
435 219 19
167 415 5
476 42 3
497 347 2
328 281 14
18 131 11
113 366 19
223 334 10
121 319 6
476 180 20
69 181 9
359 216 7
59 366 16
222 460 9
472 445 4
84 187 12
116 326 4
141 491 20
27 52 5
477 149 16
345 319 12
395 153 11
353 161 17
65 292 2
245 111 17
234 84 20
438 383 5
420 320 14
385 171 2
466 127 7
6 207 4
468 135 7
208 304 1
171 127 3
159 277 17
210 251 1
475 171 5
178 466 8
458 331 11
494 24 3
34 113 6
374 405 11
276 430 17
393 453 19
103 453 15
455 60 10
486 234 6
359 2 17
216 196 9
250 118 7
223 64 18
230 480 1
128 252 1
239 64 7
277 191 13
146 495 9
22 353 4
336 78 10
3 1 6
34 270 16
134 397 4
271 280 6
428 237 16
39 225 2
69 66 4
448 295 10
467 394 4
189 208 9
272 42 18
473 276 18
500 389 2
496 144 16
411 323 16
344 271 9
451 88 13
293 462 6
155 69 11
359 313 15
272 51 15
422 45 14
266 245 16
362 291 4
53 114 15
415 353 14
483 485 9
500 67 1
352 37 6
351 115 15
125 450 9
352 178 14
358 295 1
67 241 5
461 270 13
165 148 14
