500 3000
54 430 6
199 325 6
135 383 15
112 469 1
34 424 18
231 424 4
160 462 9
1 208 3
152 287 18
260 500 14
42 384 20
81 303 16
156 304 12
18 262 7
23 472 19
129 418 12
50 397 9
5 370 6
7 297 15
141 345 9
234 406 9
30 288 20
45 370 2
187 440 10
298 500 16
4 399 2
185 304 7
43 373 14
1 25 3
171 436 4
179 446 7
59 259 2
85 388 1
62 400 1
64 299 10
114 481 8
1 170 12
76 313 12
345 500 13
242 429 11
200 496 13
231 286 11
108 464 14
166 253 14
24 361 12
29 388 19
244 496 12
57 456 1
98 309 8
1 113 8
17 489 3
117 348 6
169 387 10
284 500 14
151 319 15
52 265 7
237 349 6
239 369 12
122 417 13
154 439 14
41 379 15
176 323 13
180 255 12
121 429 20
315 500 6
293 500 12
58 467 19
48 336 18
173 391 6
71 391 9
70 434 2
121 277 8
225 297 13
55 307 5
185 330 14
151 464 2
94 454 2
159 319 7
139 419 12
43 347 10
238 417 1
215 428 17
74 398 13
382 500 3
113 344 20
83 356 11
186 447 15
147 256 4
1 230 17
61 473 7
166 310 8
92 357 13
228 331 7
69 295 20
49 417 8
167 404 20
115 496 2
217 463 3
1 215 10
271 500 20
493 500 17
35 398 19
196 495 15
148 384 13
77 307 12
123 282 11
56 445 13
168 303 2
196 396 9
428 500 9
120 490 16
13 392 12
58 391 15
138 332 13
68 365 7
116 287 17
175 292 11
7 289 14
203 376 1
1 116 8
32 377 1
300 500 12
111 476 16
23 414 17
51 443 15
197 438 14
114 264 13
134 311 3
17 278 16
18 380 7
248 431 20
195 463 15
225 255 6
46 312 4
36 442 7
1 36 20
164 351 1
108 270 8
1 52 1
112 407 5
128 273 14
243 339 5
228 430 3
1 21 13
66 362 3
233 415 13
179 294 2
175 490 9
58 329 16
44 320 12
131 404 5
1 97 8
270 500 5
111 403 8
40 379 13
133 279 3
177 460 14
145 432 20
46 467 4
137 340 3
42 372 3
30 477 20
209 257 20
79 327 10
56 277 10
146 309 10
112 448 20
209 291 18
168 287 20
203 439 11
21 394 1
1 85 11
394 500 10
272 500 12
5 424 19
84 471 12
172 376 2
66 370 20
74 340 11
72 466 14
208 413 11
187 256 2
69 356 2
169 477 5
292 500 12
19 313 19
139 387 4
77 471 2
145 410 9
41 390 4
91 317 4
224 369 13
60 486 10
71 451 3
133 480 6
239 337 8
60 308 3
31 403 16
192 364 2
152 492 12
189 494 7
193 338 17
198 370 15
82 294 11
89 494 1
36 317 2
1 112 5
110 409 12
62 448 12
1 210 19
184 491 2
238 433 10
71 305 6
50 262 19
1 157 12
188 335 11
149 373 9
17 411 18
185 286 14
40 296 5
18 337 12
225 295 9
141 454 7
33 426 6
119 404 12
46 436 6
150 456 11
112 314 10
14 483 17
4 333 4
229 316 9
20 434 3
54 400 15
50 467 20
127 305 1
29 310 11
161 433 19
101 268 4
1 96 10
32 376 16
161 464 6
219 434 18
51 498 11
176 427 4
72 466 4
359 500 20
89 486 15
249 490 18
41 328 19
140 481 6
92 318 20
156 360 17
1 99 20
178 363 16
344 500 20
195 432 7
127 478 13
218 412 3
1 49 19
193 473 15
60 458 17
49 331 19
176 339 12
73 348 14
34 372 16
371 500 16
53 407 6
1 42 16
171 358 8
111 307 15
197 274 12
156 473 15
21 271 19
79 436 4
33 494 15
195 470 11
118 279 3
20 282 3
220 460 13
218 366 13
82 335 10
57 328 4
239 298 20
205 351 15
71 362 14
64 380 16
1 27 14
368 500 20
158 302 18
1 164 19
151 393 10
75 340 16
1 11 5
223 416 8
129 310 6
96 446 3
313 500 18
171 372 5
82 288 19
78 463 3
175 416 16
237 445 19
128 401 12
50 284 10
1 224 5
208 309 19
426 500 8
231 356 12
235 467 13
219 251 8
102 407 13
136 391 17
340 500 18
243 292 7
40 279 4
77 462 18
240 316 19
100 375 5
58 316 11
154 286 2
144 383 8
237 377 5
167 485 18
216 367 15
221 463 5
186 471 3
1 94 16
1 209 3
170 320 3
409 500 8
92 423 4
263 500 10
235 411 10
30 277 9
234 273 9
91 251 16
153 472 16
145 294 20
60 317 9
70 420 4
90 306 20
250 396 2
146 463 2
180 287 17
93 438 19
494 500 6
130 306 15
35 472 14
50 451 20
159 476 13
144 410 2
60 268 9
144 288 13
233 298 13
246 450 10
231 432 20
26 466 12
222 404 19
58 286 2
131 287 5
264 500 18
193 404 4
223 396 20
36 486 2
134 266 5
143 344 5
141 285 7
22 441 19
63 454 9
47 432 17
51 349 11
186 281 4
40 255 10
162 309 17
249 492 8
130 454 7
349 500 17
37 385 16
1 190 2
55 483 1
234 471 6
86 337 15
68 354 15
442 500 6
1 7 2
170 441 18
41 414 7
175 309 1
126 396 15
65 409 14
194 408 12
252 500 13
46 263 13
481 500 12
123 476 20
447 500 1
84 481 9
8 349 19
237 262 13
149 496 13
239 354 8
124 467 19
138 261 11
1 95 7
76 419 19
397 500 16
64 322 19
115 432 16
102 353 9
177 447 4
107 330 15
1 121 1
225 317 3
1 227 19
238 374 15
23 377 13
87 372 16
149 306 10
164 298 17
262 500 9
39 387 10
111 272 14
13 343 6
97 283 12
1 83 10
225 365 15
146 291 6
222 400 11
218 456 7
245 430 2
133 477 4
301 500 16
137 368 2
73 332 4
188 345 8
72 280 12
367 500 9
155 360 7
1 109 4
13 346 16
180 351 5
146 325 4
